,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Triệu đồng
19,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,9.0,3.2,1800.0
20,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,25.0,7.0,3.6,2400.0
21,Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,40.0,10.0,4.0,2000.0
22,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,9.5,3.5,2149.9500000000003
23,Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đang chờ sổ,2,2,30.0,7.0,4.0,849.9
24,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,2,3,81.0,22.5,3.6,3200.31
25,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,45.0,9.0,4.0,2899.7999999999997
26,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3,3,36.0,12.0,3.0,1987.92
27,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,8.75,4.0,2399.95
28,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,15.0,4.0,4999.8
29,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,9.0,4.0,2750.04
30,Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,45.0,13.0,3.4,5499.9
31,Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,37.0,11.0,3.7,4300.14
32,Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,3,2,23.0,8.0,3.0,1900.03
33,Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,40.0,4.0,4.0,5600.0
34,Quận Tây Hồ,Phường Thụy Khuê,Nhà biệt thự,Đã có sổ,5,6,92.0,18.0,5.6,13500.080000000002
35,Quận Cầu Giấy,Phường Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,47.0,11.7,4.0,4800.11
36,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,11.0,4.0,3900.1
37,Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,4,56.0,15.0,4.0,4550.0
38,Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.5,4.0,2250.0
39,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,10.0,3.2,2850.0
40,Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,37.0,9.0,4.0,2500.0899999999997
41,Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,6,11,56.0,9.0,6.0,7300.160000000001
42,Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.0,4.5,2150.1
43,Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,3,2,24.0,6.0,4.0,2250.0
44,Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,6,7,36.0,10.0,3.6,5500.08
45,Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,48.0,12.0,4.0,2700.0
46,Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,3,2,33.0,9.0,4.0,1538.1299999999999
47,Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,2380.0
48,Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,7.0,5.0,2999.85
49,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,2,2,30.0,8.0,4.0,1200.0
50,Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,8.0,4.0,1208.1000000000001
51,Quận Nam Từ Liêm,Phường Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,7.5,4.0,2050.0299999999997
52,Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,63.0,10.0,6.3,5499.9
53,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,10.0,33.0,1580.0400000000002
54,Quận Ba Đình,Phường Liễu Giai,Nhà biệt thự,Đã có sổ,6,5,80.0,16.0,5.0,12890.4
55,Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,38.0,10.0,4.0,4300.08
56,Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,3,40.0,8.0,5.0,4100.0
57,Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,57.0,8.14,7.0,3600.12
58,Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,56.0,14.0,4.0,3300.08
59,Quận Bắc Từ Liêm,Phường Đông Ngạc,"Nhà ngõ, hẻm",Đã có sổ,4,5,30.0,5.6,5.5,2319.9
60,Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,3,44.0,9.5,4.6,3500.2
61,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,8.0,4.0,2550.08
62,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,8.0,4.0,3799.84
63,Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,49.0,12.25,4.0,3699.9900000000002
64,Quận Hà Đông,Phường Biên Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,110.0,15.7,7.0,3500.2
65,Quận Cầu Giấy,Phường Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,41.0,10.0,4.1,4600.2
66,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,3349.85
67,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,9.0,4.0,3300.04
68,Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4,80.0,18.0,4.5,14000.0
69,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,12.0,4.0,2600.21
70,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,4,4,47.0,11.0,4.2,3000.0099999999998
71,Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,9.0,4.0,3200.04
72,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,8.0,4.0,2149.9500000000003
73,Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,22.0,4.2,5.0,2500.08
74,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,31.0,7.0,4.6,2050.0299999999997
75,Huyện Gia Lâm,Xã Kiêu Kỵ,"Nhà mặt phố, mặt tiền",Đã có sổ,1,1,86.0,15.0,6.0,3249.94
76,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,3.46,2279.9
77,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,35.0,10.0,3.5,1599.8500000000001
78,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.0,3.0,2250.0
79,Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,7,4,50.0,10.0,5.0,12000.0
80,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,6,60.0,15.0,4.0,4500.0
81,Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.0,2100.0
82,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,1,1,55.0,13.0,4.0,4000.15
83,Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,35.0,7.0,5.0,3099.95
84,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.0,3.7,2200.1
85,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,6,4,38.0,10.0,3.6,3500.18
86,Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5,5,60.0,12.0,5.0,10000.199999999999
87,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,8.0,5.0,4500.0
88,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,18.0,3.5,3200.0
89,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,4900.0
90,Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,10.6,3.2,3200.08
91,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,25.0,8.0,3.2,2950.0
92,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,9.0,5.0,4649.85
93,Quận Hoàn Kiếm,Phường Cửa Đông,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,20.0,5.0,4.0,11000.0
94,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.0,35.0,1590.0
95,Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,6.0,5.3,3200.0
96,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,3,2,35.0,8.0,4.0,3099.95
97,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,3,4,47.0,10.0,4.5,3699.84
98,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,9.0,4.0,4099.82
99,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,6,52.0,10.0,5.0,5400.2
100,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,3,2,21.0,6.0,3.5,1649.9699999999998
101,Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,52.0,10.5,5.0,2850.12
102,Quận Long Biên,Phường Long Biên,"Nhà mặt phố, mặt tiền",Đang chờ sổ,5,4,30.0,5.0,6.0,2750.1
103,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,10.0,3.6,1450.08
104,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,3,2,25.0,5.0,5.0,1980.0
105,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,2,2,41.0,11.0,3.9,1799.8999999999999
106,Quận Hoàn Kiếm,Phường Chương Dương,"Nhà ngõ, hẻm",Đã có sổ,4,4,66.0,11.0,6.0,5000.160000000001
107,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,6.2,5.0,2599.9700000000003
108,Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,6,3,36.0,8.0,4.2,5799.960000000001
109,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,9.0,3.5,2299.89
110,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,39.0,10.0,3.9,1650.0900000000001
111,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,3500.0
112,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,39.8,6.7,6.0,1653.292
113,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,37.0,10.2,3.6,1400.0800000000002
114,Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,9,38.0,10.0,3.8,3600.12
115,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,9.0,4.5,2649.85
116,Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,10.0,3.5,3300.0
117,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,7.8,4.0,2449.93
118,Quận Bắc Từ Liêm,Phường Thượng Cát,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,8.0,5.0,1449.92
119,Quận Ba Đình,Phường Phúc Xá,"Nhà mặt phố, mặt tiền",Đã có sổ,7,8,50.0,10.4,4.8,10900.0
120,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,42.0,14.0,3.0,3199.98
121,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,2699.94
122,Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,37.0,10.0,3.7,1690.16
123,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,59.0,17.0,3.5,4400.22
124,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,10.0,4.5,5350.05
125,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,2,30.0,9.0,3.5,2349.9
126,Quận Hà Đông,Phường Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,3,4,36.0,7.0,5.0,2750.04
127,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,35.0,10.0,3.5,3699.85
128,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,4,48.0,11.0,4.5,5300.16
129,Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,4,4,54.0,13.0,4.0,4399.92
130,Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,9.0,3.0,1979.97
131,Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,5,7,45.0,11.25,4.0,3699.9
132,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,2800.0
133,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,3,42.0,10.0,4.0,5200.02
134,Quận Nam Từ Liêm,Phường Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,8.0,4.0,2800.0499999999997
135,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,47.0,9.4,5.0,3000.0099999999998
136,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,2,11.0,2.7,4.0,1350.03
137,Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,4,39.0,9.0,4.5,4350.06
138,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,6,8,60.0,14.0,4.5,12499.800000000001
139,Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,38.0,11.0,3.5,3600.12
140,Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,5.0,7.0,2699.9
141,Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,3,4,35.0,8.5,4.1,3399.9
142,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,8,64.0,13.0,5.0,5000.32
143,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,5,34.0,8.0,4.0,3150.1000000000004
144,Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,7,6,50.0,8.5,6.0,187.0
145,Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,34.0,10.0,35.0,2450.04
146,Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.6,2400.0
147,Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,11.25,4.0,9800.13
148,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,6,5,47.0,9.0,5.0,5499.94
149,Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,41.0,10.0,4.1,2699.85
150,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,40.0,10.0,4.0,2800.0
151,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,8.0,4.0,1209.8999999999999
152,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,10.1,4.0,7100.1
153,Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,11.0,4.0,3000.0
154,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,10.0,5.0,4650.0
155,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,6,3,30.0,10.0,3.5,3300.0
156,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4,4,57.0,15.0,4.0,4399.83
157,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,10.0,6.0,3349.7999999999997
158,Huyện Gia Lâm,Xã Đông Dư,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,6.0,5.0,1509.8999999999999
159,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,5,43.0,12.0,37.0,5700.08
160,Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,6,6,33.0,8.0,4.0,6000.0599999999995
161,Quận Long Biên,Phường Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,50.0,13.0,4.0,3000.0
162,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,6,6,32.0,9.0,4.0,2900.16
163,Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5,5,48.0,8.0,6.0,4500.0
164,Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,9.0,4.1,3300.12
165,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,28.0,7.8,3.6,2800.0
166,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,3,4,85.0,20.0,4.2,3800.35
167,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4,4,39.0,35.0,4.0,4699.89
168,Quận Nam Từ Liêm,Phường Xuân Phương,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,34.0,10.0,3.4,2400.06
169,Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,8.0,3.5,2900.1
170,Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,4,4,75.0,12.0,6.3,5799.75
171,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,12.0,3.6,1620.0
172,Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,2,30.0,12.0,3.5,4749.900000000001
173,Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,6,4,35.0,9.8,3.6,3650.15
174,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,5.8,6.0,5700.1
175,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,5,49.0,8.0,6.5,5099.92
176,Quận Long Biên,Phường Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,3,3,30.0,6.0,5.0,1508.1000000000001
177,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,2,3,47.0,10.0,5.0,3333.2400000000002
178,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,30.0,30.0,3350.1
179,Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",Đang chờ sổ,2,2,46.0,9.0,5.1,2000.08
180,Quận Long Biên,Phường Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,73.0,14.0,5.4,4299.7
181,Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,9,39.0,10.0,3.9,3600.09
182,Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,8.0,4.0,3999.93
183,Quận Đống Đa,Phường Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.0,4.0,4999.95
184,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,40.0,6.7,6.0,1620.0
185,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,44.0,11.0,4.0,2950.2
186,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,37.0,10.0,3.7,1400.0800000000002
187,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,33.0,8.0,3.7,3699.96
188,Quận Ba Đình,Phường Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,46.0,9.0,5.0,5000.2
189,Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,35.0,10.0,3.5,3500.0
190,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,4.5,4.5,8500.199999999999
191,Quận Long Biên,Phường Gia Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,4,70.0,14.0,5.0,7499.8
192,Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,23.0,8.0,4.6,2500.1
193,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,10.0,3.5,1980.16
194,Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,38.0,9.0,4.0,2799.84
195,Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,13.0,35.0,3550.14
196,Quận Hai Bà Trưng,Phường Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,5,2,30.0,5.0,5.8,2850.0
197,Quận Đống Đa,Phường Phương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,36.0,8.0,5.0,6099.84
